Germany,Poland,1779,1657,1933,1,0
England,France,1987,1586,1933,1,0
Uruguay,Argentina,1976,2065,1933,1,0
Belgium,France,1518,1616,1934,1,0
France,Switzerland,1616,1620,1934,1,0
Spain,Portugal,1968,1672,1934,0,0
Portugal,Spain,1672,1968,1934,0,0
Denmark,Poland,1685,1621,1934,1,0
Sweden,Poland,1756,1621,1934,1,0
Argentina,Sweden,2021,1756,1934,0,1
Belgium,Germany,1518,1877,1934,0,1
Brazil,Spain,1863,1968,1934,0,1
Germany,Sweden,1877,1756,1934,0,1
Denmark,Sweden,1685,1756,1934,0,0
Uruguay,Argentina,1968,2021,1934,1,0
Argentina,Uruguay,2021,1968,1934,1,0
Poland,Germany,1621,1877,1934,1,0
Denmark,Germany,1685,1877,1934,1,0
Peru,Uruguay,1514,2011,1935,0,0
Peru,Argentina,1514,2005,1935,0,0
Spain,France,1976,1639,1935,1,0
Argentina,Uruguay,2005,2011,1935,0,0
Germany,Switzerland,1886,1681,1935,1,0
France,Germany,1639,1886,1935,1,0
Belgium,France,1523,1639,1935,1,0
Belgium,Germany,1523,1886,1935,1,0
Portugal,Spain,1677,1976,1935,1,0
Germany,Spain,1886,1976,1935,1,0
Belgium,Switzerland,1523,1681,1935,1,0
Sweden,Denmark,1764,1681,1935,0,0
Sweden,Germany,1764,1886,1935,1,0
Uruguay,Argentina,2011,2005,1935,1,0
Argentina,Uruguay,2005,2011,1935,1,0
Germany,Poland,1886,1593,1935,1,0
Switzerland,France,1681,1639,1935,1,0
France,Sweden,1639,1764,1935,1,0
Belgium,Sweden,1523,1764,1935,1,0
England,Germany,2010,1886,1935,1,0
Belgium,Poland,1521,1577,1936,1,0
Spain,Germany,1946,1815,1936,1,0
Portugal,Germany,1661,1815,1936,1,0
France,Belgium,1624,1521,1936,1,0
Switzerland,Spain,1635,1946,1936,1,0
Belgium,England,1521,1936,1936,1,0
Switzerland,Belgium,1635,1521,1936,1,0
Denmark,Sweden,1722,1709,1936,0,0
Sweden,Switzerland,1709,1635,1936,1,0
Argentina,Uruguay,2008,2011,1936,1,0
Poland,Germany,1577,1815,1936,1,0
Uruguay,Argentina,2011,2008,1936,1,0
Denmark,Poland,1722,1577,1936,1,0
Brazil,Peru,1870,1553,1936,0,0
Peru,Uruguay,1590,1863,1937,0,0
Argentina,Peru,2054,1590,1937,0,0
Brazil,Uruguay,1908,1863,1937,0,0
Argentina,Uruguay,2054,1863,1937,0,0
Argentina,Brazil,2054,1908,1937,0,0
Argentina,Brazil,2054,1908,1937,0,0
Belgium,France,1533,1613,1937,1,0
Germany,France,1869,1613,1937,1,0
Belgium,Switzerland,1533,1597,1937,1,0
Germany,Belgium,1869,1533,1937,1,0
Switzerland,Germany,1597,1869,1937,1,0
Germany,Denmark,1869,1734,1937,1,0
Sweden,England,1652,1979,1937,1,0
Poland,Sweden,1628,1652,1937,1,0
Poland,Denmark,1628,1734,1937,1,0
Sweden,Denmark,1652,1734,1937,0,0
France,Switzerland,1613,1597,1937,1,0
Uruguay,Argentina,1863,2054,1937,0,0
Argentina,Uruguay,2054,1863,1937,0,0
Germany,Sweden,1869,1652,1937,0,0
Spain,Portugal,1946,1661,1937,1,0
France,Belgium,1635,1536,1938,1,0
Portugal,Spain,1668,1946,1938,1,0
Germany,Switzerland,1777,1706,1938,1,0
Switzerland,Poland,1706,1596,1938,1,0
Germany,Portugal,1777,1668,1938,1,0
Switzerland,Portugal,1706,1668,1938,0,0
Switzerland,Belgium,1706,1536,1938,1,0
Germany,England,1777,1943,1938,1,0
Switzerland,England,1706,1943,1938,1,0
France,England,1635,1943,1938,1,0
Germany,Switzerland,1777,1706,1938,0,1
Brazil,Poland,1935,1596,1938,0,1
France,Belgium,1635,1536,1938,0,1
Germany,Switzerland,1777,1706,1938,0,1
Argentina,Uruguay,2070,1847,1938,1,0
Brazil,Sweden,1935,1656,1938,0,1
Denmark,Sweden,1691,1656,1938,0,0
Colombia,Peru,1344,1640,1938,1,0
Germany,Poland,1777,1596,1938,1,0
Uruguay,Argentina,1847,2070,1938,1,0
Switzerland,Portugal,1706,1668,1938,1,0
Brazil,Argentina,1929,2071,1939,0,0
Brazil,Argentina,1929,2071,1939,0,0
France,Poland,1679,1604,1939,1,0
Belgium,Germany,1517,1834,1939,1,0
Peru,Uruguay,1744,1855,1939,0,0
Portugal,Switzerland,1650,1779,1939,1,0
Belgium,Switzerland,1517,1779,1939,1,0
Belgium,France,1517,1679,1939,1,0
Poland,Belgium,1604,1517,1939,1,0
Poland,Switzerland,1604,1779,1939,1,0
Denmark,Germany,1707,1834,1939,1,0
Sweden,Denmark,1701,1707,1939,0,0
France,Portugal,1685,1644,1940,1,0
Brazil,Argentina,1889,2072,1940,0,0
Brazil,Argentina,1889,2072,1940,0,0
Argentina,Brazil,2072,1889,1940,0,0
Argentina,Brazil,2072,1889,1940,0,0
Argentina,Brazil,2072,1889,1940,0,0
Brazil,Uruguay,1889,1905,1940,0,0
Brazil,Uruguay,1889,1905,1940,0,0
Croatia,Switzerland,1905,1761,1940,1,0
Switzerland,Croatia,1761,1905,1940,1,0
Uruguay,Argentina,1905,2072,1940,1,0
Argentina,Uruguay,2072,1905,1940,1,0
Sweden,Denmark,1708,1702,1940,1,0
Denmark,Sweden,1702,1708,1940,1,0
Germany,Denmark,1820,1702,1940,1,0
Portugal,Spain,1645,1948,1941,1,0
Peru,Argentina,1702,2103,1941,1,0
Peru,Argentina,1702,2103,1941,1,0
Peru,Argentina,1702,2103,1941,1,0
Argentina,Peru,2103,1702,1941,0,0
Argentina,Uruguay,2103,1932,1941,0,0
Peru,Uruguay,1702,1932,1941,0,0
Germany,Switzerland,1850,1749,1941,1,0
Spain,Portugal,1948,1645,1941,1,0
Switzerland,Germany,1749,1850,1941,1,0
Costa Rica,Panama,1833,1274,1941,0,0
Germany,Croatia,1850,1893,1941,1,0
Sweden,Denmark,1715,1719,1941,1,0
Sweden,Germany,1715,1850,1941,1,0
Denmark,Sweden,1719,1715,1941,1,0
Germany,Denmark,1850,1719,1941,1,0
Spain,Switzerland,1948,1749,1941,1,0
Portugal,Switzerland,1663,1753,1942,1,0
Argentina,Brazil,2090,1879,1942,0,0
Brazil,Peru,1879,1672,1942,0,0
Uruguay,Brazil,1988,1879,1942,0,0
Argentina,Peru,2090,1672,1942,0,0
Germany,Switzerland,1908,1753,1942,1,0
Uruguay,Peru,1988,1672,1942,0,0
Uruguay,Argentina,1988,2090,1942,0,0
France,Switzerland,1664,1753,1942,1,0
Spain,France,1944,1664,1942,1,0
Germany,Spain,1908,1944,1942,1,0
Argentina,Uruguay,2090,1988,1942,0,0
Denmark,Sweden,1690,1748,1942,1,0
Uruguay,Argentina,1988,2090,1942,0,0
Germany,Sweden,1908,1748,1942,1,0
Sweden,Denmark,1748,1690,1942,1,0
Switzerland,Germany,1753,1908,1942,1,0
Germany,Croatia,1908,1865,1942,1,0
Switzerland,Sweden,1753,1748,1942,1,0
Argentina,Uruguay,2082,1980,1943,1,0
Switzerland,Croatia,1741,1869,1943,1,0
Uruguay,Argentina,1980,2082,1943,1,0
Sweden,Switzerland,1763,1741,1943,1,0
Denmark,Sweden,1699,1763,1943,1,0
Brazil,Uruguay,1916,1943,1944,1,0
Brazil,Uruguay,1916,1943,1944,1,0
France,Belgium,1670,1529,1944,1,0
Brazil,Colombia,1996,1353,1945,0,0
Colombia,Uruguay,1353,1854,1945,0,0
Argentina,Colombia,2038,1353,1945,0,0
Brazil,Uruguay,1996,1854,1945,0,0
Argentina,Brazil,2038,1996,1945,0,0
Argentina,Uruguay,2038,1854,1945,0,0
Portugal,Spain,1660,1942,1945,1,0
Switzerland,France,1800,1648,1945,1,0
Spain,Portugal,1942,1660,1945,1,0
Switzerland,Portugal,1800,1660,1945,1,0
England,France,1962,1648,1945,1,0
Sweden,Denmark,1792,1705,1945,1,0
Denmark,Sweden,1705,1792,1945,1,0
Uruguay,Argentina,1854,2038,1945,0,0
Switzerland,England,1800,1962,1945,1,0
Argentina,Uruguay,2038,1854,1945,0,0
Sweden,Denmark,1792,1705,1945,1,0
Switzerland,Sweden,1800,1792,1945,1,0
Belgium,France,1516,1648,1945,1,0
Brazil,Argentina,1996,2038,1945,0,0
Brazil,Argentina,1996,2038,1945,0,0
Brazil,Argentina,1996,2038,1945,0,0
Uruguay,Brazil,1823,1976,1946,0,0
England,Belgium,2004,1524,1946,1,0
Brazil,Uruguay,1976,1823,1946,0,0
Argentina,Uruguay,2085,1823,1946,0,0
Argentina,Brazil,2085,1976,1946,0,0
Costa Rica,Panama,1549,1384,1946,0,0
Portugal,France,1678,1684,1946,1,0
England,Switzerland,2004,1783,1946,1,0
France,England,1684,2004,1946,1,0
Denmark,Sweden,1744,1805,1946,1,0
Sweden,Switzerland,1805,1783,1946,1,0
Iceland,Denmark,1308,1744,1946,1,0
Sweden,Denmark,1805,1744,1946,1,0
Portugal,Switzerland,1681,1763,1947,1,0
Portugal,Spain,1681,1887,1947,1,0
France,Portugal,1740,1681,1947,1,0
Uruguay,Brazil,1819,1980,1947,0,0
Brazil,Uruguay,1980,1819,1947,0,0
England,France,2021,1740,1947,1,0
Switzerland,England,1763,2021,1947,1,0
Portugal,England,1681,2021,1947,1,0
France,Belgium,1740,1514,1947,1,0
Switzerland,France,1763,1740,1947,1,0
Denmark,Sweden,1727,1862,1947,0,0
Sweden,Denmark,1862,1727,1947,1,0
Sweden,Poland,1862,1578,1947,1,0
Belgium,England,1514,2021,1947,1,0
Switzerland,Belgium,1763,1514,1947,1,0
