France,England,1635,1943,1938
Germany,Switzerland,1777,1706,1938
Brazil,Poland,1935,1596,1938
France,Belgium,1635,1536,1938
Germany,Switzerland,1777,1706,1938
Argentina,Uruguay,2070,1847,1938
Brazil,Sweden,1935,1656,1938
Denmark,Sweden,1691,1656,1938
Colombia,Peru,1344,1640,1938
Germany,Poland,1777,1596,1938
Uruguay,Argentina,1847,2070,1938
Switzerland,Portugal,1706,1668,1938
Brazil,Argentina,1929,2071,1939
Brazil,Argentina,1929,2071,1939
France,Poland,1679,1604,1939
Belgium,Germany,1517,1834,1939
Peru,Uruguay,1744,1855,1939
Portugal,Switzerland,1650,1779,1939
Belgium,Switzerland,1517,1779,1939
Belgium,France,1517,1679,1939
Poland,Belgium,1604,1517,1939
Poland,Switzerland,1604,1779,1939
Denmark,Germany,1707,1834,1939
Sweden,Denmark,1701,1707,1939
France,Portugal,1685,1644,1940
Brazil,Argentina,1889,2072,1940
Brazil,Argentina,1889,2072,1940
Argentina,Brazil,2072,1889,1940
Argentina,Brazil,2072,1889,1940
Argentina,Brazil,2072,1889,1940
Brazil,Uruguay,1889,1905,1940
Brazil,Uruguay,1889,1905,1940
Croatia,Switzerland,1905,1761,1940
Switzerland,Croatia,1761,1905,1940
Uruguay,Argentina,1905,2072,1940
Argentina,Uruguay,2072,1905,1940
Sweden,Denmark,1708,1702,1940
Denmark,Sweden,1702,1708,1940
Germany,Denmark,1820,1702,1940
Portugal,Spain,1645,1948,1941
Peru,Argentina,1702,2103,1941
Peru,Argentina,1702,2103,1941
Peru,Argentina,1702,2103,1941
Argentina,Peru,2103,1702,1941
Argentina,Uruguay,2103,1932,1941
Peru,Uruguay,1702,1932,1941
Germany,Switzerland,1850,1749,1941
Spain,Portugal,1948,1645,1941
Switzerland,Germany,1749,1850,1941
Costa Rica,Panama,1833,1274,1941
Germany,Croatia,1850,1893,1941
Sweden,Denmark,1715,1719,1941
Sweden,Germany,1715,1850,1941
Denmark,Sweden,1719,1715,1941
Germany,Denmark,1850,1719,1941
Spain,Switzerland,1948,1749,1941
Portugal,Switzerland,1663,1753,1942
Argentina,Brazil,2090,1879,1942
Brazil,Peru,1879,1672,1942
Uruguay,Brazil,1988,1879,1942
Argentina,Peru,2090,1672,1942
Germany,Switzerland,1908,1753,1942
Uruguay,Peru,1988,1672,1942
Uruguay,Argentina,1988,2090,1942
France,Switzerland,1664,1753,1942
Spain,France,1944,1664,1942
Germany,Spain,1908,1944,1942
Argentina,Uruguay,2090,1988,1942
Denmark,Sweden,1690,1748,1942
Uruguay,Argentina,1988,2090,1942
Germany,Sweden,1908,1748,1942
Sweden,Denmark,1748,1690,1942
Switzerland,Germany,1753,1908,1942
Germany,Croatia,1908,1865,1942
Switzerland,Sweden,1753,1748,1942
Argentina,Uruguay,2082,1980,1943
Switzerland,Croatia,1741,1869,1943
Uruguay,Argentina,1980,2082,1943
Sweden,Switzerland,1763,1741,1943
Denmark,Sweden,1699,1763,1943
Brazil,Uruguay,1916,1943,1944
Brazil,Uruguay,1916,1943,1944
France,Belgium,1670,1529,1944
Brazil,Colombia,1996,1353,1945
Colombia,Uruguay,1353,1854,1945
Argentina,Colombia,2038,1353,1945
Brazil,Uruguay,1996,1854,1945
Argentina,Brazil,2038,1996,1945
Argentina,Uruguay,2038,1854,1945
Portugal,Spain,1660,1942,1945
Switzerland,France,1800,1648,1945
Spain,Portugal,1942,1660,1945
Switzerland,Portugal,1800,1660,1945
England,France,1962,1648,1945
Sweden,Denmark,1792,1705,1945
Denmark,Sweden,1705,1792,1945
Uruguay,Argentina,1854,2038,1945
Switzerland,England,1800,1962,1945
Argentina,Uruguay,2038,1854,1945
Sweden,Denmark,1792,1705,1945
Switzerland,Sweden,1800,1792,1945
Belgium,France,1516,1648,1945
Brazil,Argentina,1996,2038,1945
Brazil,Argentina,1996,2038,1945
Brazil,Argentina,1996,2038,1945
Uruguay,Brazil,1823,1976,1946
England,Belgium,2004,1524,1946
Brazil,Uruguay,1976,1823,1946
Argentina,Uruguay,2085,1823,1946
Argentina,Brazil,2085,1976,1946
Costa Rica,Panama,1549,1384,1946
Portugal,France,1678,1684,1946
England,Switzerland,2004,1783,1946
France,England,1684,2004,1946
Denmark,Sweden,1744,1805,1946
Sweden,Switzerland,1805,1783,1946
Iceland,Denmark,1308,1744,1946
Sweden,Denmark,1805,1744,1946
Portugal,Switzerland,1681,1763,1947
Portugal,Spain,1681,1887,1947
France,Portugal,1740,1681,1947
Uruguay,Brazil,1819,1980,1947
Brazil,Uruguay,1980,1819,1947
England,France,2021,1740,1947
Switzerland,England,1763,2021,1947
Portugal,England,1681,2021,1947
France,Belgium,1740,1514,1947
Switzerland,France,1763,1740,1947
Denmark,Sweden,1727,1862,1947
Sweden,Denmark,1862,1727,1947
Sweden,Poland,1862,1578,1947
Belgium,England,1514,2021,1947
Switzerland,Belgium,1763,1514,1947
England,Sweden,2021,1862,1947
Portugal,France,1681,1740,1947
Colombia,Uruguay,1407,1819,1947
Argentina,Peru,2102,1647,1947
Argentina,Colombia,2102,1407,1947
Colombia,Peru,1407,1647,1947
Peru,Uruguay,1647,1819,1947
Argentina,Uruguay,2102,1819,1947
Costa Rica,Panama,1571,1483,1948
Spain,Portugal,1893,1688,1948
Uruguay,Brazil,1869,1951,1948
Uruguay,Brazil,1869,1951,1948
Belgium,France,1547,1750,1948
Switzerland,Spain,1754,1893,1948
Denmark,Poland,1803,1570,1948
Denmark,England,1803,2088,1948
Sweden,Denmark,1996,1803,1948
France,Belgium,1750,1547,1948
England,Switzerland,2088,1754,1948
Spain,Belgium,1893,1632,1949
Portugal,Spain,1690,1893,1949
Colombia,Peru,1305,1733,1949
Brazil,Colombia,1984,1305,1949
Brazil,Peru,1984,1733,1949
Uruguay,Colombia,1719,1305,1949
Brazil,Uruguay,1984,1719,1949
Peru,Uruguay,1733,1719,1949
Sweden,England,1969,2046,1949
France,England,1715,2046,1949
France,Switzerland,1715,1725,1949
France,Spain,1715,1893,1949
Poland,Denmark,1561,1800,1949
Denmark,Iceland,1800,1311,1949
Belgium,Switzerland,1632,1725,1949
Denmark,Sweden,1800,1969,1949
Spain,Portugal,1868,1685,1950
Portugal,Spain,1685,1868,1950
Brazil,Uruguay,2014,1871,1950
Brazil,Uruguay,2014,1871,1950
Portugal,England,1685,1999,1950
Belgium,England,1683,1999,1950
Belgium,France,1683,1699,1950
Brazil,Mexico,2014,1724,1950
Brazil,Switzerland,2014,1757,1950
England,Spain,1999,1868,1950
Mexico,Switzerland,1724,1757,1950
Brazil,Sweden,2014,1933,1950
Spain,Uruguay,1868,1871,1950
Brazil,Spain,2014,1868,1950
Sweden,Uruguay,1933,1871,1950
Brazil,Uruguay,2014,1871,1950
Spain,Sweden,1868,1933,1950
Sweden,Denmark,1933,1760,1950
France,Belgium,1699,1683,1950
Switzerland,Sweden,1757,1933,1950
Spain,Switzerland,1877,1723,1951
Panama,Costa Rica,1520,1580,1951
Costa Rica,Panama,1580,1520,1951
