23/04/1911,Switzerland,France,5,2,Friendly,Geneva,Switzerland
30/04/1911,Belgium,France,7,1,Friendly,Uccle,Belgium
07/05/1911,Austria,Hungary,3,1,Friendly,Vienna,Austria
07/05/1911,Italy,Switzerland,2,2,Friendly,Milan,Italy
21/05/1911,Switzerland,Italy,3,0,Friendly,La Chaux-de-Fonds,Switzerland
18/06/1911,Sweden,Germany,2,4,Friendly,Solna,Sweden
15/08/1911,Argentina,Uruguay,0,2,Copa Lipton,Buenos Aires,Argentina
17/09/1911,Sweden,Norway,4,1,Friendly,Solna,Sweden
17/09/1911,Uruguay,Argentina,2,3,Copa Newton,Montevideo,Uruguay
08/10/1911,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay
09/10/1911,Germany,Austria,1,2,Friendly,Dresden,Germany
22/10/1911,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina
22/10/1911,Finland,Sweden,2,5,Friendly,Helsinki,Finland
29/10/1911,Germany,Sweden,1,3,Friendly,Hamburg,Germany
29/10/1911,Hungary,Switzerland,9,0,Friendly,Budapest,Hungary
29/10/1911,Luxembourg,France,1,4,Friendly,Luxembourg,Luxembourg
29/10/1911,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay
05/11/1911,Hungary,Austria,2,0,Friendly,Budapest,Hungary
17/12/1911,Germany,Hungary,1,4,Friendly,Munich,Germany
28/01/1912,France,Belgium,1,1,Friendly,Saint-Ouen,France
10/02/1912,Northern Ireland,England,1,6,British Championship,Dublin,Ireland
18/02/1912,France,Switzerland,4,1,Friendly,Saint-Ouen,France
20/02/1912,Belgium,Switzerland,9,2,Friendly,Antwerp,Belgium
02/03/1912,Scotland,Wales,1,0,British Championship,Edinburgh,Scotland
10/03/1912,Belgium,Netherlands,1,2,Friendly,Antwerp,Belgium
11/03/1912,Wales,England,0,2,British Championship,Wrexham,Wales
16/03/1912,Northern Ireland,Scotland,1,4,British Championship,Belfast,Ireland
17/03/1912,Italy,France,3,4,Friendly,Turin,Italy
23/03/1912,Scotland,England,1,1,British Championship,Glasgow,Scotland
24/03/1912,Netherlands,Germany,5,5,Friendly,Zwolle,Netherlands
13/04/1912,Wales,Northern Ireland,2,3,British Championship,Cardiff,Wales
14/04/1912,Hungary,Germany,4,4,Friendly,Budapest,Hungary
28/04/1912,Netherlands,Belgium,4,3,Friendly,Dordrecht,Netherlands
05/05/1912,Austria,Hungary,1,1,Friendly,Vienna,Austria
05/05/1912,Switzerland,Germany,1,2,Friendly,Sankt Gallen,Switzerland
16/06/1912,Norway,Sweden,1,2,Friendly,Kristiania,Norway
20/06/1912,Sweden,Hungary,2,2,Friendly,Gothenburg,Sweden
23/06/1912,Norway,Hungary,0,6,Friendly,Kristiania,Norway
27/06/1912,Sweden,Finland,7,1,Friendly,Solna,Sweden
03/07/1912,Norway,Russia,2,1,Friendly,Stockholm,Sweden
12/07/1912,Russia,Hungary,0,9,Friendly,Moscow,Russia
14/07/1912,Russia,Hungary,0,12,Friendly,Moscow,Russia
15/08/1912,Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay
25/08/1912,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay
22/09/1912,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina
06/10/1912,Argentina,Uruguay,3,3,Copa Newton,Avellaneda,Argentina
06/10/1912,Denmark,Germany,3,1,Friendly,Copenhagen,Denmark
03/11/1912,Hungary,Austria,4,0,Friendly,Budapest,Hungary
03/11/1912,Sweden,Norway,4,2,Friendly,Gothenburg,Sweden
17/11/1912,Germany,Netherlands,2,3,Friendly,Leipzig,Germany
01/12/1912,Uruguay,Argentina,1,3,Friendly,Montevideo,Uruguay
22/12/1912,Italy,Austria,1,3,Friendly,Genoa,Italy
12/01/1913,France,Italy,1,0,Friendly,Saint-Ouen,France
18/01/1913,Northern Ireland,Wales,0,1,British Championship,Belfast,Ireland
15/02/1913,Northern Ireland,England,2,1,British Championship,Belfast,Ireland
16/02/1913,Belgium,France,3,0,Friendly,Brussels,Belgium
03/03/1913,Wales,Scotland,0,0,British Championship,Wrexham,Wales
09/03/1913,Belgium,Netherlands,3,3,Friendly,Antwerp,Belgium
09/03/1913,Switzerland,France,1,4,Friendly,Geneva,Switzerland
15/03/1913,Northern Ireland,Scotland,1,2,British Championship,Dublin,Ireland
17/03/1913,England,Wales,4,3,British Championship,Bristol,England
05/04/1913,England,Scotland,1,0,British Championship,London,England
20/04/1913,France,Luxembourg,8,0,Friendly,Saint-Ouen,France
20/04/1913,Netherlands,Belgium,2,4,Friendly,Zwolle,Netherlands
27/04/1913,Austria,Hungary,1,4,Friendly,Vienna,Austria
01/05/1913,Italy,Belgium,1,0,Friendly,Turin,Italy
04/05/1913,Russia,Sweden,1,4,Friendly,Moscow,Russia
04/05/1913,Switzerland,Belgium,1,2,Friendly,Basel,Switzerland
18/05/1913,Germany,Switzerland,1,2,Friendly,Freiburg,Germany
18/05/1913,Hungary,Sweden,2,0,Friendly,Budapest,Hungary
25/05/1913,Denmark,Sweden,8,0,Friendly,Copenhagen,Denmark
08/06/1913,Sweden,Norway,9,0,Friendly,Stockholm,Sweden
15/06/1913,Argentina,Uruguay,1,1,Friendly,Avellaneda,Argentina
15/06/1913,Austria,Italy,2,0,Friendly,Vienna,Austria
09/07/1913,Argentina,Uruguay,2,1,Friendly,Avellaneda,Argentina
15/08/1913,Argentina,Uruguay,4,0,Copa Lipton,Avellaneda,Argentina
31/08/1913,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina
